"parameter","2030","2040","2050","2060","2070","2080","2090","2100","2110","2120","2130","2140","2150","2160","2170","2180","2190","2200","2210","2220","2230","2240","2250","2260","2270","2280","2290","2300"
"N2O_0",0.010719112464408579,0.007999964899139053,0.007855900210523764,0.005611815752873963,0.0014792844787245704,0.0008608954592133393,0.00044417146009395896,0.00041800776046534057,0.000254913702716047,9.168255115707767e-5,8.961383339563112e-5,0.00014872095303475303,7.930428508247034e-5,5.2916885818800465e-5,3.582724619957651e-5,2.3727646397446665e-5,5.171671988988456e-5,2.2965472947961957e-5,1.5071076627702634e-5,2.3840203296541296e-5,1.6090375416129173e-5,1.3968181170828269e-5,2.5787810629901284e-5,6.881757260265285e-6,8.345491719510772e-6,9.145890587283586e-6,6.979722760154619e-6,1.3965975173123839e-5
"temperature_0",0.009552955278907269,0.008144850977515727,0.005942714943691184,0.003688669496233886,0.002300383867798234,0.0010798262284931277,0.0005763886005326883,0.00031504114640414137,0.00018018545817866729,0.00012314093039465785,0.00014495644106216093,0.0001500064940410215,4.4286051885751896e-5,3.553485074129874e-5,3.9368876923731736e-5,3.464974317743556e-5,4.935388084380104e-5,2.7690455149109012e-5,2.4289009676280797e-5,2.01195995339524e-5,6.761530990143146e-5,1.570960753586107e-5,9.304716758009057e-6,1.2881838418432788e-5,6.979667053908515e-6,9.588508453969048e-6,1.6039271346314758e-5,9.710458946390793e-6
"ocean_heat_0",0.011035367766252585,0.009267688725173254,0.004557646536739737,0.00373659575903119,0.002059743016427875,0.000924785093283761,0.0007788831041982623,0.00043994818578351163,0.00025865770697915396,0.00011276577338308886,7.874293764855885e-5,0.00010700458464105865,9.019960943624512e-5,5.3800191628590966e-5,2.7760869431705e-5,4.288772762873512e-5,3.607772966203475e-5,2.570286262676721e-5,1.558170704452575e-5,2.8574535113955023e-5,2.462923551080887e-5,1.1499408527106384e-5,4.292437171389537e-5,1.2517774864995234e-5,1.1658067172745262e-5,7.735218546238826e-6,7.518199604041526e-6,3.983812225406181e-6
"thermal_s0",0.005379507315901503,0.00658806078570798,0.005718492240166871,0.0040883071465437305,0.0018634113082283885,0.0012783985328485242,0.0005161493312035721,0.0003678244174791962,0.00020926976262966102,0.00011574795061100297,8.266074500894924e-5,0.00010214050629407887,6.06442161649994e-5,6.107720398812373e-5,2.7567893675900872e-5,5.9911104529754735e-5,2.232604382575402e-5,1.9941094450296096e-5,1.2200410907807803e-5,2.7360851447553182e-5,2.8292416959714503e-5,1.2221308289524313e-5,2.7937523601726982e-5,1.251751494692028e-5,1.4104288093943732e-5,8.087807906016486e-6,7.909152447009604e-6,4.891639659227702e-6
"greenland_v0",0.008773912871813368,0.005424693503197414,0.005164699693672692,0.0037274356697577097,0.0026554890797716424,0.0013404682114689342,0.0005974666567784529,0.0009048312223186244,0.00016535118104910008,0.00011686435553068013,8.824407629450753e-5,8.41487594387461e-5,6.610055704475488e-5,5.200259962877121e-5,3.566814731157547e-5,4.1812292791892415e-5,6.661843861956274e-5,1.5948956629421644e-5,1.496634950325316e-5,1.1710194329411371e-5,2.6565238211262138e-5,1.699894747327604e-5,1.7361019432577067e-5,8.653658123625114e-6,1.746378876385871e-5,2.230790276366101e-5,7.202202445614411e-6,7.4017081952023206e-6
"glaciers_v0",0.0054824690601288405,0.006665397316754912,0.015720201646264968,0.0031778397611962788,0.002320937793322328,0.002297410776193474,0.0002801517098823699,0.00023736591442187369,0.00026520555722660185,0.00011596917845071316,8.521255715015645e-5,9.260342836649574e-5,6.149719717349893e-5,4.9480675369855046e-5,2.6725064403793563e-5,1.9447686236776648e-5,3.449020354894778e-5,1.7304883854974272e-5,2.1512102162803306e-5,3.046573709360023e-5,2.1264336867946005e-5,2.818335702528379e-5,4.633329936299665e-5,2.7391357007434787e-5,1.4204022149481859e-5,1.1862427285071827e-5,1.4460892484036733e-5,9.040317457986395e-6
"glaciers_s0",0.008808402840079423,0.016642015526843804,0.006144930368871793,0.0059566337973557485,0.0026909819386936196,0.0026226807778512496,0.0005598009192020419,0.00044126887955144495,0.0002560305632663496,9.969700233380736e-5,7.825272953775869e-5,0.0001229823931909822,7.943846149041094e-5,4.4806678730310613e-5,4.151108634824545e-5,3.750505698312295e-5,3.847920242295825e-5,1.4773920973909847e-5,1.606563149813688e-5,1.6669989044194877e-5,1.5865604970480617e-5,2.0321864543737765e-5,1.6178083003659803e-5,1.4728186295625616e-5,9.668122461180361e-6,3.5995013522580926e-5,5.912603717439298e-6,1.4373509225028978e-5
"antarctic_s0",0.009289697298983888,0.011798771295045373,0.003895712690449623,0.0096541179744242,0.0017945327788474027,0.0013012132990778392,0.0005889555281614158,0.0006235652197914847,0.0002720470235544682,0.00010557981739767136,7.464655052905148e-5,9.087519853240537e-5,3.669066192335971e-5,5.986572365625985e-5,5.6842618484003726e-5,4.898862902502559e-5,0.00011137828139096006,1.9103266497140057e-5,1.6432113302293503e-5,1.7603953431535766e-5,1.6891096319771442e-5,2.521135506241027e-5,1.4538945284522511e-5,1.2942764701411052e-5,9.350345943611021e-6,1.7789173075497058e-5,1.4722212127565356e-5,7.908985261307729e-6
"Q10",0.0073614640128084755,0.006299012853853747,0.007250773805843302,0.0037904850113595224,0.0015090953823112979,0.0015431047136359038,0.0008245061373507988,0.0006013654525475139,0.00033297043917825646,0.0003121518316622298,0.0002987909497878337,0.0003055806311544294,0.0003021342955690386,0.00031109269392487834,0.00028286077393947594,0.00026443905560492083,0.00025975789564302367,0.00023281862700539387,0.00022642810458609064,0.000224317796800223,0.00022600392242163868,0.00023310670886128343,0.00024206945923383878,0.0002550773678537845,0.00027153984377105856,0.0002872291445430069,0.0003036076974560616,0.0003169275269330856
"CO2_fertilization",0.009274145013868574,0.015408411607624399,0.0053888800970230515,0.0027746902458570728,0.0018864033431858398,0.0012093775340499629,0.0007225645211015535,0.0004875505767655141,0.00030204159513820696,0.00031174584333288924,0.0002880883556829537,0.00027694123990404975,0.00026954022847627726,0.0002706632890176065,0.00025972009672905165,0.0002333681202833519,0.0002469955867259916,0.00023081556012388693,0.00020670078505070574,0.00019031316578344836,0.00017839016487933372,0.00016676481975934975,0.00016152186455642884,0.0001620170069615273,0.00016535329946286558,0.00017007481001884392,0.00017375450647793728,0.00018032639597023638
