time,co2_emissions,radiative_forcing,temperature,sea_level_rise,slr_antartic_icesheet,slr_glaciers_small_ice_caps,slr_greeland_icesheet,slr_landwater_storage,slr_thermal_expansion
2115,94.48031648743861,14.57356721889248,6.62479748321612,2.8762200516673304,0.6913467513488757,0.29255632021818784,1.4874039499475584,0.02883343187799863,0.37607959827470944
2116,94.58111089027638,14.592496854851841,6.646798274121759,2.923958410834046,0.7017231893420519,0.295017117369943,1.5178803065577116,0.029347900236124,0.3799898973282161
2117,94.68190529311414,14.613855905226172,6.668383317682453,2.971619652359826,0.7121077527672124,0.29742409855407054,1.5483002696224801,0.029925428455176473,0.3838621029608868
2118,94.7826996959519,14.636761837675087,6.689668739306956,3.0186009802238587,0.7224996487548927,0.2997777966643669,1.5786590534775442,0.029962785179983596,0.3877016961470713
2119,94.88349409878967,14.710396158072514,6.71529924088186,3.065675579158079,0.7328945024500486,0.30207880051464825,1.6089531632651184,0.03020189756086704,0.3915472153673971
2120,94.98428850162743,14.808064934131849,6.746683800754242,3.1132084850057478,0.7433000037578814,0.3043292334076008,1.6392270668333966,0.0309057509456855,0.39544643006118324
2121,95.0222845752426,14.864091556632046,6.778336577982406,3.1600445529837824,0.7537217445312512,0.3065315222508625,1.6695389607566353,0.03087462075130775,0.39937770469372585
2122,95.06028064885776,14.891716371020605,6.806939396799157,3.2071871870397737,0.7641518214298654,0.3086862007441826,1.6998897518169107,0.031171328168353808,0.40328808488046053
2123,95.09827672247292,14.890767317355143,6.830521880051536,3.2538826934227965,0.7745959375329882,0.31079279862644466,1.7302462698192391,0.03110737747731352,0.4071403099668108
2124,95.13627279608808,14.859509304885547,6.8475362219462905,3.300919508283919,0.7850462794842623,0.31285037270795873,1.7605557196610677,0.03156636198084639,0.41090077444978346
2125,95.17426886970324,14.82539046737004,6.859369583084361,3.347865306527685,0.7955051039819604,0.3148577012666508,1.7907505351928927,0.032194015261301286,0.41455795082487995
2126,95.14886197846238,14.805861035875989,6.868885037225873,3.3943276702697203,0.8059666898636503,0.3168141554422387,1.8207786985464178,0.03263644539378719,0.41813168102362613
2127,95.12345508722152,14.794318843000461,6.877572475973968,3.4404068589283368,0.8164270438051153,0.3187200369448167,1.8506183229258193,0.032995791125923185,0.4216456641266622
2128,95.09804819598065,14.785215484278828,6.885802285828059,3.486184919849023,0.8268864285187141,0.3205761007106017,1.8802630280776391,0.03334761870476829,0.4251117438373001
2129,95.07264130473979,14.777670184263945,6.893694469836866,3.531532728260709,0.8373451744364266,0.3223832095012423,1.9097103124062231,0.033558483416175275,0.42853554850064135
2130,95.04723441349891,14.82086687298923,6.905896925090971,3.5765883031406425,0.8478021753655429,0.3241422569175045,1.9389589524581545,0.03372916101015187,0.4319557573892883
2131,94.95794110420326,14.888106770422029,6.923820740021782,3.6213481316536886,0.8582606751008603,0.3258552618152295,1.9680535656404183,0.03375835873896419,0.43542027035821623
2132,94.8686477949076,14.913719825578754,6.941982401305033,3.665957121683997,0.8687236942437643,0.3275244457051216,1.9970515571888612,0.03374984799995832,0.43890757654629087
2133,94.77935448561195,14.910977314060924,6.9570686149415835,3.710524238277038,0.8791924227190301,0.3291506110241763,2.0259554856586703,0.033860852882997165,0.4423648659921635
2134,94.69006117631629,14.879721445404206,6.967114396030294,3.7550925197072345,0.8896660213354629,0.330733811769323,2.0547356058739084,0.03420203635373091,0.4457550443748095
2135,94.60076786702065,14.818231994668908,6.970577476796906,3.7989981400687234,0.9001421038129126,0.3322737514454585,2.0833438315839734,0.03419377203018819,0.4490446811961903
2136,94.44721040146293,14.753972999217384,6.968850804092121,3.8431955948434333,0.9106124004594149,0.3337699289595131,2.111718465769849,0.03487236679329821,0.45222243286135794
2137,94.2936529359052,14.704427460704126,6.964805006950291,3.8865515317561794,0.9210808633007556,0.3352222773694072,2.1398128849205156,0.035127160230465374,0.45530834593503533
2138,94.14009547034748,14.663006532917391,6.959937197440054,3.929681165922196,0.9315382021955639,0.3366314055592738,2.167609137696326,0.0355760801294905,0.45832634034154146
2139,93.98653800478975,14.62416653557239,6.954623700740063,3.9719414710099614,0.9419883133016348,0.3379982433749422,2.1951039704466693,0.03556246742951689,0.4612884764571983
2140,93.83298053923201,14.58703450005367,6.948989807764407,4.014333633262398,0.9524263827793102,0.33932378703955196,2.22229779907459,0.03608507169520909,0.46420059267373615
2141,93.61486895372002,14.600799961334106,6.947688129680778,4.055865194498264,0.9628593239583156,0.34060904250624563,2.2491922406531746,0.03610301372623278,0.46710157365429605
2142,93.39675736820803,14.638796590813437,6.95213652308434,4.097196927831131,0.9732824103553732,0.34185581711492363,2.275831686882852,0.0361874749733361,0.4700395385046464
2143,93.17864578269604,14.635354362013276,6.956857014256027,4.138527677658463,0.9837033652470569,0.34306604604186197,2.302272218780013,0.03649284427976161,0.4729932033097694
2144,92.96053419718405,14.603758044945186,6.958541776087312,4.179333940089085,0.9941237392884484,0.34424062221503804,2.328518641818116,0.03654095661696162,0.47590998015052244
2145,92.74242261167204,14.543869344765097,6.955232029885805,4.219970612152797,1.004538187838028,0.3453798887468082,2.354545777990526,0.03675375161615836,0.4787530059612758
2146,92.45953720222099,14.453985977373721,6.945392145453141,4.260640171598027,1.0149465373064177,0.34648392984884346,2.380311611670101,0.03740899980613054,0.4814890929665344
2147,92.17665179276993,14.361633056386738,6.9304259582715435,4.300485563952076,1.025346749881773,0.34755267763646314,2.4057617743439508,0.037717182088015284,0.48410718000187336
2148,91.89376638331888,14.284292479739856,6.913212753796257,4.33946625358615,1.0357300533853397,0.348586370919336,2.430856128732903,0.0376660841430263,0.48662761640554486
2149,91.61088097386782,14.215383195348684,6.895256727807631,4.37822284884068,1.0460949932386097,0.34958572453593023,2.4555811693451037,0.037886353394262835,0.48907460832677374
2150,91.32799556441677,14.14936740297607,6.8769402865261355,4.416457762509568,1.0564457633900897,0.35055167187867203,2.479936973392477,0.038062860763757,0.4914604930845715
2151,90.98016993814015,14.085381551356454,6.858394429175108,4.454277058661758,1.0667801308956735,0.3514851817189927,2.5039269768153174,0.038293389256615434,0.49379137997515943
2152,90.63234431186353,14.072682100374559,6.844282572904609,4.491896403303775,1.0770987864206378,0.3523872177262307,2.5275556866715547,0.038748249864102656,0.49610646262124897
2153,90.28451868558692,14.084582713699996,6.83602960430866,4.529011453964214,1.0874055857688978,0.3532593012239158,2.5508667457135994,0.03902564102786205,0.4984541802299389
2154,89.9366930593103,14.055411860383549,6.828162457488225,4.565855644400359,1.097701383951434,0.35410302928372306,2.5739142761425207,0.03932342044459703,0.500813534578084
2155,89.5888674330337,13.998472934758366,6.817379012914565,4.602399150948251,1.1079880304249823,0.3549192462226763,2.596705403541721,0.039654250643582946,0.503132220115289
2156,89.17171819103375,13.913642800493497,6.801726675093916,4.638453708933534,1.1182638486276955,0.3557083974579095,2.6192199225859163,0.039887875389071334,0.5053736648729412
2157,88.7545689490338,13.79930878314311,6.779683095656511,4.674196546896612,1.128525077232501,0.3564707377636698,2.6414224004642994,0.04027330126371225,0.5075050301724289
2158,88.33741970703385,13.68297939751231,6.752661447286737,4.709498059765723,1.1387698341370114,0.3572064085760781,2.66326638420518,0.040739802735950854,0.5095156301115029
2159,87.9202704650339,13.582146954824635,6.723548639253723,4.743850556484166,1.1489948473509612,0.3579157610788082,2.684718510054589,0.04079527675173765,0.5114261612480713
2160,87.50312122303396,13.49023879499928,6.69385569731753,4.777784195835974,1.1591956324154777,0.35859947363843137,2.7057696281634227,0.04095829215992304,0.5132611694587192
2161,87.0206699855986,13.401722471706611,6.663970998406224,4.811306840967359,1.169375809695834,0.3592583689727291,2.7264228723674266,0.04121646718019837,0.5150333227511708
2162,86.53821874816325,13.315820459450615,6.634038320574902,4.844443286923255,1.179535511736867,0.35989328492139766,2.7466843655155673,0.04158101633800603,0.5167491084114169
2163,86.05576751072789,13.281745896296956,6.608727657697858,4.876771360089517,1.189675061184917,0.3605050468537403,2.766561195956042,0.041581953165755386,0.5184481029290633
2164,85.57331627329253,13.272809447516613,6.589468100442291,4.9089356277012,1.1997937688474916,0.36109486122607926,2.7860955816231794,0.04177234036135397,0.5201790756430961
2165,85.09086503585716,13.223344777980559,6.570790666086586,4.940593832456447,1.2098990861944223,0.3616639768152161,2.8053389576617516,0.041770466664063484,0.5219213451209926
2166,84.5427061948161,13.146667726752414,6.549397948841822,4.9723717875812365,1.21998892511488,0.3622131062461193,2.824300420438089,0.042246413635554786,0.523622922146593
2167,83.99454735377505,13.042764146745393,6.523351447401097,5.003229875981045,1.2300665558887873,0.36274267589777615,2.8429645376335566,0.042208483122518264,0.5252476234384071
