"gamma_g","t_peak","gamma_d","CO2_0","N2O_0","thermal_s0","greenland_v0","glaciers_v0","glaciers_s0","antarctic_s0","Q10","CO2_fertilization","CO2_diffusivity","heat_diffusivity","rf_scale_aerosol","climate_sensitivity","thermal_alpha","greenland_a","greenland_b","greenland_alpha","greenland_beta","glaciers_beta0","glaciers_n","anto_alpha","anto_beta","antarctic_gamma","antarctic_alpha","antarctic_mu","antarctic_nu","antarctic_precip0","antarctic_kappa","antarctic_flow0","antarctic_runoff_height0","antarctic_c","antarctic_bed_height0","antarctic_slope","antarctic_lambda","antarctic_temp_threshold"
0.006,2030.0,0.15,279.92930662956684,280.6429636909618,0.009341788536746554,7.362199783401742,0.4422481160342467,-0.02586636998000989,-0.04183609008864751,1.5948796235820817,0.5871265111125665,16.792664097029018,3.488300554809401,1.152778708713577,2.7203618274627703,0.2109285282486141,-1.8491085390463309,7.881584770563229,0.0005023841207995855,5.122133834487691e-5,0.0009726980810805569,0.5610670572302335,0.006111971270269944,0.6891080017365794,2.1692371696324195,0.07316380137517255,8.583794327679747,0.005596783080490539,1.0884393877358944,0.04910143310926074,0.9837280914948823,1140.424989377567,68.07026575218629,746.8070694225023,0.000739072337321831,0.008798255057072957,-15.899112143886162
0.006,2030.0,0.15,279.5384097312185,277.153723615173,0.043567586419953855,7.4481396760865275,0.31755614512233993,-0.017161626199950125,-0.002530750729880382,1.1895080509357552,0.4728565997589603,18.71994378811028,2.659149218215847,1.3345735965627754,3.8229900441095976,0.1675491393317346,-3.979425173699632,8.7542441878773,0.00019813663676161649,4.408226016532932e-5,0.0009519986545257232,0.7326090228070197,0.10071991586840617,1.1502264046397197,3.2429786684020163,0.11935075539336265,9.535785843987751,0.009906801437962444,1.0846946818679732,0.06699443919004384,1.5177038373339484,1377.676854008561,85.25498812050711,766.8657130884629,0.000642329758790243,0.013959218729386002,-14.931043332599248
0.006,2030.0,0.15,280.8197140364648,273.60312018984337,-0.0376829605374031,7.354082473130683,0.31431821288887124,0.015999247321353417,0.04246617178671506,1.1559580394952724,0.3805180292565314,29.43354889728245,3.6545783136044783,0.9720118448651444,2.883838822264684,0.11845731855202572,-2.917217503425071,8.810931525755056,0.0004018543155290809,1.5547156269303542e-6,0.0009032586257646363,0.8491210443169198,0.4820744122583734,0.13878652163951669,1.3937595732958377,0.157175108200277,13.013383244950797,0.008994108763385612,0.20658652645793257,0.03805918183100742,0.6546948815249983,1089.541246076178,76.6700173415139,793.7024579165378,0.0006445949918599233,0.01189850768015884,-15.717611621179394
0.006,2030.0,0.15,280.8370648889952,266.2282192163282,-0.020150351381750364,7.261177787715579,0.3209656001292025,-0.025793852589448173,0.03895825217606057,1.019283815245751,0.27334513449551623,190.37720674876465,4.177022301811161,1.3430893418861487,6.684298789737956,0.12282619806932223,-1.3105660222064321,7.769680872296897,0.0006830193220283943,0.00016454135714068886,0.0008867710870692059,0.937784996559481,0.10458607333003687,1.1230679901379388,2.525142408854391,0.2669753862655173,9.5234657020181,0.012095670708730185,1.4344592250714778,0.07283394545759025,1.7737324060776027,1561.576638049802,126.201023774861,764.5344287610906,0.0006378125566104924,0.00436275199766697,-15.648313974452003
0.006,2030.0,0.15,280.909520317909,281.2415781006678,0.03770079813338892,7.511044409386247,0.5195007856736507,0.021466255063857218,-0.02965181284656612,1.0113709148910033,0.5117277161183261,11.259995816633026,3.6751671047997583,1.406569244362809,4.856290581780759,0.11821557183688858,-2.1562940242501516,8.28668285743293,0.000611324144985603,1.3271359539166165e-5,0.0010979776438446887,0.7799372488696605,0.13519008683875422,1.133073733672262,3.315454552586471,0.2952204647902338,8.754414200451704,0.004491973521028473,0.9024435185928853,0.08489735113922023,1.2802261190790416,992.599851812693,135.37185876304446,752.5710368652191,0.000595720545537824,0.00889155852323861,-15.876349295476638
0.006,2030.0,0.15,280.4446496107693,279.7654058776167,0.024061869834001756,7.329249593393921,0.44412362980126613,-0.003063474646509695,0.020887771751837602,1.2424161437741723,0.46111752412375,23.20717913948895,3.344037378437307,1.1912663825445315,2.9420547312725276,0.13465231384451218,-3.5081690807217933,8.449145310995888,0.00032697098627368235,6.886727145376409e-5,0.000931607552425293,0.9864114704972343,0.20312165802515672,0.08248202355504587,2.815569978458856,0.0742117963409307,10.109268717111888,0.01335146365944588,0.7095812718262197,0.04932730939757791,1.4841406141777662,1421.0151344774529,81.17336582129774,765.5241125066068,0.0006361881096221535,0.017375903764013177,-16.12420508889521
0.006,2030.0,0.15,279.6502636743542,278.7071575110771,0.045713441924901635,7.323971119970215,0.5078182152955728,0.01928680021789373,0.02024092691398108,1.4913798647862688,0.4860806158024355,37.85835908772748,4.120818282208469,1.147664493719315,3.814419140410598,0.13555605040586613,-1.1990073120160707,7.8054178208112,0.0007004671510009001,0.00028164526567706435,0.0009411556109292869,0.8903372508441604,0.14712228924850038,1.3201174068480863,3.832345967609215,0.21568402398264186,9.114835585339277,0.008476490064376625,0.781138840539573,0.08184283197991295,1.7621430266350915,1505.8891326820687,138.10247355628746,767.1401157161889,0.0005724514347604315,0.013569930060906317,-15.601749326735009
0.006,2030.0,0.15,279.42932102200473,264.30667911969783,0.014178876970253725,7.213003875080036,0.36383898927832586,0.06658743043548981,0.011234760943461741,1.6567169374743875,0.505256621518495,21.01969859854888,3.077712750290882,1.1577107146745367,2.809371420543081,0.16586181687755214,-1.6932759999264153,7.880125490554658,0.0008808072931872917,4.983642830101547e-6,0.0012009470209249351,0.9168716257380327,0.14417687264091805,0.6730286696426153,2.225141779363158,0.24545563188012098,7.067358385914923,0.00539035064857648,0.349470019579354,0.07563827514000193,0.7366697081347702,1125.375718952018,90.04648272853906,769.1456712885999,0.000596641767879214,0.006162106186322326,-15.377066364165852
0.006,2030.0,0.15,280.03886384044705,264.3393315399075,0.007088431728433125,7.430477305010961,0.4580126467703007,-0.011208637026605257,0.004325036117720896,1.0983214390396099,0.3824553862471772,33.68328765778235,2.619897229558854,1.1761610553977135,2.4564221577086016,0.1587114665514291,-1.9584151523478512,7.929668500488525,0.0006253469046548501,2.449691580775091e-5,0.0009524302614434574,0.7230317379127745,0.8030879675953759,1.8746573452527686,3.1681291786319177,0.019081281121588883,7.28003190642054,0.00740054146729221,0.5039840260780878,0.05537594450885294,1.178635300174376,1305.415420786671,102.67693396776671,814.5165427053763,0.0006381594142328081,0.01153709841839386,-15.247024471839456
0.006,2030.0,0.15,280.5146325131347,279.80444406396447,0.005073432618231565,7.3699129981697915,0.477286327057123,-0.01769204747913246,-0.0032521140320905025,1.0495312126578864,0.47444844209000137,16.795367006251706,3.8629255290748845,1.3640656797838586,4.628392898362031,0.1253107837790419,-1.973153122314435,8.054370457168577,0.0004928373560459259,0.0001271826883077273,0.001076183813178453,0.8094808259240547,0.03742689916088975,0.14514473059360505,2.830583240205224,0.2907307426316257,8.829041273370363,0.010013941202382361,1.342068647074005,0.08011720805088741,1.3365624569553867,1558.7443457263685,125.6851860387182,743.1583812505044,0.0006646863138763516,0.007441407617865056,-15.972085172390765
